"","id","text","rating","afinn","lsd","vader","sums"
"930",930,"RT @daveanthony: Chewbacca should be up there just roaring every once in a while.  Would fit right in.  ","Positive",0.2,1,0.361,1.6
"981",981,"Lmfao ","Negative",0.8,0,0.542,1.6
"333",333,"RT @jjosephwilliams: 16% of United States homes with TV sets tuned in to ","Positive",0.2,1,0.421,1.6
"968",968,"For sex talk that's a little less crazy than last night's #gopdebate, here's @AngelaLedgerwoo and I on @litupshow: http://t.co/4dJcC81a5m","Neutral",-0.4,-1,-0.209,1.582
"912",912,"https://t.co/skhaS0lquB God Damn!  That's what's called a MEGA ","Negative",-0.3,-1,-0.224,1.552
"976",976,"@megynkelly  you lost alot of admirers last night.We Republicans are just going to beat ourselves, AGAIN!  #GOPDebate #DonaldTrump","Negative",-0.6,0,0.176,1.552
"39",39,"RT @Jami_USA: If we don't hold everyone to the same standards during the #GOPDebates, what are they worth?","Negative",0.4,1,0.226,1.548
"398",398,"RT @cap: ""How will you defeat her Kamehameha attack? How will you survive her Spirit Bomb?""
-#GOPDebate","Neutral",-0.067,-0.2,-0.839,1.544
"2",2,"LET'S NOT FORGET no one has ever been shot for ""not being politically correct"" no one has had their liberties violated over it. #GOPDebate","Neutral",-0.25,0.5,0.201,1.5
"71",71,"RT @Mullchess: @FoxNews Can't stand much more.  If these 10 are the best of the GOP, I love our chances in 2016 #GOPDebates #UniteBIue","Neutral",0.25,1,0.881,1.5
"465",465,"These fox news debates are no more than comedy at the laugh store... it's all for fun. ","Negative",0.25,1,0.817,1.5
"554",554,"I actually agree with @AndreaTantaros on something. She said @realDonaldTrump didn't hurt himself in ","Positive",-0.1,0,0.646,1.492
"804",804,"How is it Hollywood can't get Dr. Doom right once and foxnews got it right 10 times last night? ","Positive",-0.4,0.333,0.309,1.466
"493",493,"RT @BradOnMessage: While you were watching the #GOPDebate, the candidate @algore endorsed for Nashville Mayor lost. badly.","Negative",-0.267,-1,-0.527,1.466
"698",698,"Now we are down to the real nitty-gritty how is GOD helping you candidates oh please tell us ","Neutral",0.267,1,0.746,1.466
"785",785,"Shorter @JohnKasich: ""I am proud to embrace the Obama agenda &amp; expand government in Ohio.""  #RINO #GOPDebate #tcot #teaparty @gop","Negative",0.267,1,0.772,1.466
"701",701,"I hope people aren't so reality tv exposed that they only love that Paul and Christi raised voices.  ","Negative",0.267,1,0.761,1.466
"111",111,"I hope Rand Paul knows that this country denies domestic terrorism when it comes to specific groups committing the crime. ","Negative",-0.1,-0.5,-0.827,1.454
"628",628,"@BenCarson2016 no such thing as a politically correct war. Amen. ","Negative",-0.3,0,-0.727,1.454
"723",723,"RT @NumbersMuncher: Donald Trump is the guy who flips the Risk board over once he realizes he can't overtake Asia. ","Neutral",-0.4,-1,-0.273,1.454
"962",962,"A debate with no losers: @GOP should be proud | http://t.co/koWXyZUI4z  ","Positive",0.1,0,0.707,1.414
"940",940,"@dan_bernstein That debate or if you can call it that was just a joke. The biggest one of all is Donald Trump. ","Positive",0.4,1,0.296,1.408
"245",245,"RT @wilw: Boy, I bet the mood in the clown car is going to be TENSE when these jerks leave the #GOPDebate.","Negative",-0.3,-1,-0.663,1.4
"302",302,"Working on a huge #GOPDebate social data story. Some interesting trends, such as Trump not having the most tweeted-about moment last night.","Negative",0.3,1,0.612,1.4
"326",326,"Cruz' closing statement may have sounded like it came from a meat market, but HUGE difference is that Cruz would actually do it. #GOPDebate","Positive",0.3,1,0.7,1.4
"337",337,"Trump gave to many politicians because they system is broken.  He is telling us how it works and says it is wrong.  ","Neutral",-0.3,-1,-0.735,1.4
"487",487,"RT @SupermanHotMale: Dear Senator Rubio, God has nothing to do with the Republican party... Get it right. #GopDebates","Neutral",0.3,1,0.751,1.4
"504",504,"RT @Gauchat: Hopefully we'll find out where God stands on the taxing-pimps issue. ","Negative",0.3,1,0.586,1.4
"629",629,"Yes, and Moe was the smartest Stooge
#Democrats #GOPDebates @TheDemocrats https://t.co/Ucd675MRMY","Positive",0.3,1,0.772,1.4
"835",835,"@NateSilver538 @mikeallen 
And this is from what? I agree with the top 2 but Carson, out bush out, Paul, out! #GOPDebates","Neutral",0.3,1,0.349,1.4
"875",875,"ALL the candidates represented a clear and superior choice to Hillary, Bernie, Elizabeth and Uncle Joe!!! #GOPDebate #teaparty #tcot #tdgn","Negative",0.3,1,0.789,1.4
"945",945,"RT @jarodzsz: i'm really disappointed that no one threw their prosthetic leg last night at the ","Negative",-0.3,-1,-0.706,1.4
"954",954,"RT @loribuckmajor: It's cute how Chris Christie has the Bob's Big Boy haircut ","Negative",0.3,1,0.459,1.4
"964",964,"Bring on the Democratic Debate already. Please &amp; Thank You ","Neutral",0.3,1,0.586,1.4
"47",47,"RT @LindaSuhler: Jeb Stands By ""Act of Love""; Comments and Earned Legal Status [BOO]
#NoAmnesty
http://t.co/hImScrVikr
#GOPDebates","Negative",0.4,0,0.691,1.382
"228",228,"RT @LindaSuhler: Jeb Stands By ""Act of Love""; Comments and Earned Legal Status [BOO]
#NoAmnesty
http://t.co/hImScrVikr
#GOPDebates","Neutral",0.4,0,0.691,1.382
"380",380,"RT @LindaSuhler: Jeb Stands By ""Act of Love""; Comments and Earned Legal Status [BOO]
#NoAmnesty
http://t.co/hImScrVikr
#GOPDebates","Neutral",0.4,0,0.691,1.382
"536",536,"RT @LindaSuhler: Jeb Stands By ""Act of Love""; Comments and Earned Legal Status [BOO]
#NoAmnesty
http://t.co/hImScrVikr
#GOPDebates","Negative",0.4,0,0.691,1.382
"942",942,"RT @LindaSuhler: Jeb Stands By ""Act of Love""; Comments and Earned Legal Status [BOO]
#NoAmnesty
http://t.co/hImScrVikr
#GOPDebates","Negative",0.4,0,0.691,1.382
"671",671,"@bkshelvesofdoom Alas, stating true facts does not always effectivley squelch stupid, bone-headed and moronic ideas. See Also: #GOPDebate","Neutral",-0.067,-0.2,-0.751,1.368
"786",786,"Biggest Loss ","Neutral",-0.6,-1,-0.318,1.364
"822",822,"RT @alliebidwell: Bernie, calling out #gopdebate on lack of higher ed talk, among other issues https://t.co/27h90u6BAu","Negative",-0.4,-1,-0.318,1.364
"378",378,"RT @Joy__Hart: The morning Joe crowd is giving Fiorina a false sense of intelligence. She is Sarah Palin with lighter hair ","Negative",0,0.333,0.67,1.34
"28",28,"""People could care less if you like them, they want their civil rights""- @RaulAReyes on the topic of LGBT rights at the #GOPDebate","Positive",0.333,1,0.694,1.334
"154",154,"Where are the alumni from top foreign affairs programs and military schools? We need you. Help us! Please. ","Neutral",0.333,1,0.726,1.334
"787",787,"Mush? Bayonets? What is this, Walker? A Revolutionary War site or #GOPDebates","Neutral",-0.4,0,-0.664,1.328
"824",824,"RT @kyaecker: Love to hear an apology from @megynkelly to @realDonaldTrump for dragging the debate into the toilet ","Negative",0.2,0,0.66,1.32
"84",84,"RT @MashableNews: .@realdonaldtrump went on a late-night Twitter rant against @MegynKelly after the ","Neutral",-0.6,-1,-0.34,1.32
"235",235,"RT @TC_Watkins: @DomenicoNPR @MediaEqualizer crazy that Cruz only got 3 mins at debate ","Negative",-0.4,-1,-0.34,1.32
"442",442,"RT @guypbenson: Good Rubio answer on immigration, invoking unfairness of system to those who play by the rules. #GOPDebate","Positive",0.6,0,0.649,1.298
"778",778,"After last night's #GOPDebate, I think it's clear that #JohnMcCain is the Aegon Targaryen of the #Republican Party.
#GameofThrones","Negative",0.2,0,0.649,1.298
"100",100,"A very cool #dataviz shared by @kennethsilber about the #GOPDebate last night
http://t.co/FACtlsxf4g http://t.co/PSYNbUelhy","Negative",0.2,0,0.644,1.288
"17",17,"RT @jybray: Telling it like it is ","Negative",0.4,1,0.361,1.278
"20",20,"#GOPDebate When they all stand on stage together,
it looks like a @realDonaldTrump cabinet meeting.","Positive",0.4,1,0.361,1.278
"121",121,"RT @BOUNCE_COMIC: Black folks looking at @BenCarson2016 like... ","Negative",0.4,1,0.361,1.278
"156",156,"@notaxation Thank you for your thoughts on the ","Positive",0.4,1,0.361,1.278
"182",182,"Republicans still talking about abortion like it's the 1960s. ","Negative",0.4,1,0.361,1.278
"201",201,"hadiyah: Jen Bush looks like an Art Teacher for an inner city school and everyday his car gets vandalized.  ","Negative",0.4,1,0.361,1.278
"293",293,"RT @prophiphop: Last night was like oh ","Neutral",0.4,1,0.361,1.278
"449",449,"RT @Bipartisanism: Sounds like the ","Negative",0.4,1,0.361,1.278
"812",812,"RT @AmandaJoGomez: Me: *watches the #GOPDebate *
Me: *looks directly into the camera like I'm on The Office*","Neutral",0.4,1,0.361,1.278
"856",856,"You see the people in the audience looking around when they clapped for Gay Rights. People were like, da fuk... #GOPDebates","Negative",0.4,1,0.361,1.278
"913",913,"RT @mette_mariek: Here's a dog that looks like a panda. ","Negative",0.4,1,0.361,1.278
"941",941,"RT @billyeichner: Thank you all for watching the ","Neutral",0.4,1,0.361,1.278
"431",431,"#GOPDebates : better than the Phantom Menace, but worse than Revenge of the Sith.","Negative",-0.25,-0.5,-0.872,1.244
"171",171,"RT @BarracudaMama: RT @AllenWestRepub ""Dear @JebBush #GOPDebate #NotAMistake http://t.co/E1SmU0Hn5J""","Neutral",0.4,1,0.382,1.236
"349",349,"RT @TexasCruzn: RT @AllenWestRepub ""Dear @JebBush #GOPDebate #NotAMistake http://t.co/1z3VuFjZlw""","Neutral",0.4,1,0.382,1.236
"101",101,"The mainstream media wants to limit our options to establishment puppets. We know who won! ","Positive",0.6,0,0.611,1.222
"969",969,"Trump: Banks aren't babies. They are killers. Hell yes I got away from bad deals, and I can make the USA a scofflaw too! #GOPdebates","Negative",-0.4,-1,-0.9,1.2
"1",1,"RT @DougBenson: ""I'll stop illegal immigration by closing all the bridges."" -C crispie #GOPDebates","Neutral",-0.4,-1,-0.7,1.2
"5",5,"You're all ""pro life"" until when it comes to actually taking care of life with healthcare ie Planned Parenthood #GOPDebates #StandwithPP","Negative",0.4,1,0.494,1.2
"10",10,"RT @DougBenson: ""I'll stop illegal immigration by closing all the bridges."" -C crispie #GOPDebates","Neutral",-0.4,-1,-0.7,1.2
"12",12,"Tickets to the circus - check, last nights entertainment was all I needed!  Thanks #GOP #GOPDebate","Neutral",0.4,1,0.718,1.2
"27",27,"@TheDailyShow Jon Stewart can feel comfortable w/retirement as ","Negative",0.4,1,0.511,1.2
"48",48,"Support 1 U like ","Positive",0.4,1,0.637,1.2
"73",73,"""We've shrunk our military."" Compared to what? The last time we declared war? #GOPDebates","Neutral",-0.4,-1,-0.644,1.2
"82",82,"After the #GOPDebate, if I were a Republican I'd get behind the smartest, most electable person in the room and draft @megynkelly for Prez!","Negative",0.4,1,0.648,1.2
"105",105,"RT @someecards: 16 of the funniest reactions to last night's inadvertently hilarious GOP debate. http://t.co/nKWjLscECM ","Positive",0.4,1,0.743,1.2
"118",118,"RT @RWSurferGirl: Why should @realDonaldTrump pledge support to the GOP when the establishment sold out to Obama? ","Positive",0.4,1,0.402,1.2
"129",129,"RT @DanMoore755: The republican candidates are closing with their love for God. Democrats would never do that... Just sayin. ","Neutral",0.4,1,0.743,1.2
"130",130,"RT @libertywwnf: Finally a question for Cruz. Iranian deal terrible Russia cyber attack. Reagan made Iran release prisoners ","Negative",-0.4,-1,-0.859,1.2
"137",137,"RT @lizadonnelly: I put pearls on Jeb! because he looks like his mom. I drew the ","Negative",0.4,1,0.42,1.2
"153",153,"Seems like supporting same sex marriage is actually popular with Republicans ","Positive",0.4,1,0.802,1.2
"162",162,"Me, guy like me? Going to run for President as a Republican just for a better seat at the debate. #meguylikeme #Republicandebate #GOPDebate","Negative",0.4,1,0.66,1.2
"168",168,"RT @HayesBrown: Fact: Before Jeb was governor, Florida was run by a death cult. #GOPDebate","Negative",-0.4,-1,-0.599,1.2
"169",169,"RT @nonprophetess: ""Received word from God.""

This should be good.
#GOPDebate","Positive",0.4,1,0.612,1.2
"170",170,"RT @Raina_Kadavil: Two great political comedy acts in one night - the last of ","Neutral",0.4,1,0.765,1.2
"172",172,"RT @RWSurferGirl: Why should @realDonaldTrump pledge support to the GOP when the establishment sold out to Obama? ","Positive",0.4,1,0.402,1.2
"183",183,"@DoriaBiddle #GOPDebates I have friends visiting from Japan (they speak English) and they are HORRIFIED + keep asking, ""How?""","Neutral",-0.6,0,-0.281,1.2
"198",198,"RT @juliaioffe: An elegant, witty round-up of last night's #GOPDebate by @tnyCloseRead http://t.co/cW0rAc9wQh","Negative",0.4,1,0.477,1.2
"210",210,"RT @PunkHistory: Congratulations to anyone who watched tonight's ","Negative",0.4,1,0.599,1.2
"221",221,"""When you find mush, you push""  We agree with Jack from @AandGShow about that being a great motto in life! (from last night's #GOPDebate)","Negative",0.4,1,0.784,1.2
"231",231,"Chris Christie apparently gives up. Lol. 

#GOPDebates","Neutral",0.6,0,0.519,1.2
"252",252,"Fox Debate commentators should be ashamed for the way they've treated Trump! ","Negative",-0.4,-1,-0.525,1.2
"292",292,"RT @ggfletcher: Trump's big beautiful door: ","Positive",0.4,1,0.599,1.2
"305",305,"I was a little disappointed in the #GOPDebate last night, was expecting President Camacho to make an appearance. http://t.co/tMJiL45Dxp","Neutral",-0.4,-1,-0.423,1.2
"334",334,"True https://t.co/lciPAyBJZ9 ","Negative",0.4,1,0.421,1.2
"344",344,"Shout out to the white people cheering Huckabee :) ","Neutral",0.4,1,0.743,1.2
"357",357,"Omg!!! Favorite thing. ","Positive",0.4,1,0.596,1.2
"369",369,"He's going independent you watch. Lol ","Neutral",0.6,0,0.519,1.2
"383",383,"Let's change the racist usage of the word articulate to describe Republicans who are well spoken. ","Negative",-0.6,0,-0.44,1.2
"389",389,"RT @FreedomJames7: Who Wants A Hug?
#GOPDebate http://t.co/iaTS8vyx7c","Positive",0.4,1,0.477,1.2
"392",392,"Who Wants A Hug?
#GOPDebate http://t.co/iaTS8vyx7c","Negative",0.4,1,0.477,1.2
"396",396,"That about sums it up haha: 2016 bender starts now ","Negative",0.6,0,0.459,1.2
"423",423,"RT @Chelsea_Elle: My favorite part of the ","Neutral",0.4,1,0.459,1.2
"425",425,"Stuck at work until 9. Can't wait to go home &amp; watch the train wreck that is the ","Neutral",-0.4,-1,-0.599,1.2
"474",474,"RT @thatsmylobster: @Wiseguysutah hey, is Donald Trump coming to Wiseguys anytime soon? I'd like advance tickets. #GOPDebate","Negative",0.4,1,0.421,1.2
"481",481,"Look at Jeb coming through with throwing GWB under the bus about the Iraq War. He needs to do this more often. ","Positive",-0.4,-1,-0.599,1.2
"485",485,"RT @JoyCaresCLE: Very cute! Can we vote a dog on the dollar bill or for president? ","Neutral",0.4,1,0.555,1.2
"489",489,"FTW Ron. You nailed it he came close to telling Megyn to shut up. ","Negative",0.6,0,0.577,1.2
"491",491,"RT @lovablegold: This got me crying ","Positive",-0.4,-1,-0.477,1.2
"492",492,"RT @MarkDavis: #Perry, #Fiorina clips on #IranDeal are better than most answers being given in this debate #GOPDebates","Negative",0.4,1,0.44,1.2
"495",495,"Now Ben Carson wants to try and be interesting.  ","Negative",0.4,1,0.402,1.2
"507",507,"Guys, thanks for not unfollowing me in masses after last night #GOPDebate","Negative",0.4,1,0.44,1.2
"511",511,"RT @pfikac: .@JebBush 'We are on the verge of the greatest time to be alive in this world but Washington is holding us back' ","Negative",0.4,1,0.527,1.2
"522",522,"RT @MarkDavis: #Perry, #Fiorina clips on #IranDeal are better than most answers being given in this debate #GOPDebates","Positive",0.4,1,0.44,1.2
"523",523,"In honor of the ","Neutral",0.4,1,0.494,1.2
"530",530,"RT @SupermanHotMale: Dear John Kasich, Beat your Republican friends with a gay tree branch : )  #GopDebates","Positive",0.4,1,0.691,1.2
"532",532,"Thanks @EAT24 and Donald Trump! Just got a Pepperoni Roll &amp; a root beer for $7.50 + tip. ","Positive",0.4,1,0.493,1.2
"562",562,"@Marisol_Bello @LindseyGrahamSC @etammykim @rhondalevaldo Thanks for this source on Dodd-Frank. ","Negative",0.4,1,0.44,1.2
"568",568,"RT @Wilberforce91: One of my favorite things about the ","Positive",0.4,1,0.459,1.2
"570",570,"RT @Wilberforce91: One of my favorite things about the ","Neutral",0.4,1,0.459,1.2
"577",577,"Mike Huckabee and Bartles &amp; Jaymes would like to thank you for your support. ","Negative",0.4,1,0.772,1.2
"605",605,"This makes me feel better about #Trump 
#GOPDebate RT https://t.co/NGdAxtuDrT","Negative",0.4,1,0.44,1.2
"608",608,"RT @Wilberforce91: One of my favorite things about the ","Positive",0.4,1,0.459,1.2
"614",614,"RT @alexandraheuser: Liberals love her - very promoting -  just sayin'  ","Neutral",0.4,1,0.79,1.2
"619",619,"RT @alittlestats: Fox Failed Statistics in Explaining Its G.O.P. Debate Decision http://t.co/JBZchd34wa ","Negative",-0.4,-1,-0.511,1.2
"632",632,"RT @Just_JDreaming: ""Listen...I AM REAGEN YOU FOOLS""  - Donald Trump #GOPDebates","Negative",-0.4,-1,-0.604,1.2
"685",685,"Great article about the craziness that was last night's ","Positive",0.6,0,0.361,1.2
"726",726,"We can do better ","Negative",0.4,1,0.44,1.2
"729",729,"Now that the dust is settling from last night, it's becoming clear that #JohnKasich won and helped himself the most. #GOPDebate #2016","Positive",0.4,1,0.743,1.2
"732",732,"How sweet. @ChrisChristie has family who served. What does anything he is saying have to do with veterans? ","Positive",0.4,1,0.459,1.2
"743",743,"RT @_HankRearden: Trump haters seem especially mad today. I wonder why lol? Whiny little bitches should get over it. ","Negative",-0.4,-1,-0.788,1.2
"745",745,"Steps to help you understand #KKKorGOP: 1) define rhetoric, 2) consume #GOPDebate rhetoric, 3) spot similarities. https://t.co/lkuHW2NRXs","Negative",0.4,1,0.402,1.2
"767",767,"Could the ""pundits"" be wrong? They usually are! http://t.co/NB3btm8FFd #GOPDebate #DeBaitandSwith #iTalkUS #WakeUpAmerica","Negative",-0.4,-1,-0.525,1.2
"768",768,"During #FoxNews' #GOPDebate, #MegynKelly was suffering from delusions that she was a #Minnesota dentist, and #DonaldTrump was #CecilTheLion.","Positive",-0.4,-1,-0.477,1.2
"772",772,"RT @Wilberforce91: One of my favorite things about the ","Neutral",0.4,1,0.459,1.2
"827",827,"What ever happened to the answers to how they were gonna take care of vets? ","Negative",0.4,1,0.494,1.2
"895",895,"Glad to see that Jesus got a shout-out at las night's debate. Them candidates were pushing the envelope.
#GOPDebate","Positive",0.4,1,0.459,1.2
"900",900,"Well #FoxNews &amp; #MegynKelly, the @realDonaldTrump hitjob blew up. Tops @Time poll #KellyFile #GOPDebate #DonaldTrump http://t.co/PhQU2mpmbG","Neutral",0.4,1,0.66,1.2
"916",916,"RT @IanGaryTweets: This is real life. These people are running for the most powerful office in the world. ","Negative",0.4,1,0.475,1.2
"935",935,"Follow me on Twitter @kerriestella  if you like to have fuuuuun! ","Neutral",0.4,1,0.42,1.2
"944",944,"Donald Trump (@realDonaldTrump) is like the J.R. Ewing of politics! ","Neutral",0.4,1,0.42,1.2
"956",956,"Watched the #GOPDebate, but kept thinking, ""This is the real answer 2 America's problems!"" #seekweek15 @LifeAction  https://t.co/DJcj7BHGZb","Positive",-0.4,-1,-0.592,1.2
"985",985,"Gov @BobbyJindal Vows to Violate the #FirstAmendment If Elected President http://t.co/AQ8V8C6p0p
#UniteBlue #GOPDebate #LGBT #p2 #topprog","Neutral",-0.4,-1,-0.494,1.2
"997",997,"showed serious differences in approaches to the world &amp; problems within the GOP, and more importantly, the #GOPDebates showed off the crazy.","Negative",-0.4,-1,-0.423,1.2
"218",218,"Damn... I'd turn Republican for this. ","Negative",-0.8,-1,-0.402,1.196
"748",748,"Kind of glad I didn't get to watch the ","Positive",0.5,1,0.403,1.194
"911",911,"@FrankLuntz @megynkelly your ""focus group"" was a joke! Your takedown attempt of #Trump2016 was a huge fail! Trump won #GOPDebate easily!","Positive",0.2,0.5,0.789,1.178
"858",858,"The answer to the most important question of the #GOPDebate is yes, Joe Flacco is, in fact, an elite quarterback. #RavensNation","Negative",0.3,0,0.585,1.17
"340",340,"A nice look at yesterday debate ""A Foxy, Rowdy Republican Debate"" #GOPDebate #FoxNews http://t.co/rF40CcI35x","Neutral",0.6,1,0.421,1.158
"18",18,".@CorrectRecord @HillaryClinton
 FOX/GOP Party Hunger Games-Demagog Food-fighter @CarlyFiorina
#GOPDebate #morningjoe http://t.co/ygMGbAvqut","Negative",-0.4,0,0.178,1.156
"55",55,"@FoxNews says @RealBenCarson topped candidates in new Twitter followers after #GOPDebates. 24000 vs. 2nd place, 11000 @marcorubio Congrats!","Negative",0.4,0,0.571,1.142
"922",922,"@megynkelly @realDonaldTrump could have it handled better, but he was the only one questioned, read: attacked, at personal level.#GOPDebate","Neutral",0,0,-0.565,1.13
"904",904,"RT @Rik_FIair: X___X RT @kvxrdashian: when you leave the Republican Party and become a Democrat. ","Neutral",-0.2,0,0.361,1.122
"207",207,"RT @BethBehrs: Classy. ","Negative",0.6,1,0.44,1.12
"216",216,"RT @BethBehrs: Classy. ","Positive",0.6,1,0.44,1.12
"407",407,"Funny how the ","Neutral",0.8,1,0.44,1.12
"421",421,"Oh race issues, this should be good. #GOPDebates","Positive",0.6,1,0.44,1.12
"435",435,"RT @BethBehrs: Classy. ","Negative",0.6,1,0.44,1.12
"471",471,"RT @LollyOhMy: Good thing ","Positive",0.6,1,0.44,1.12
"572",572,"Oh good lord... ","Negative",0.6,1,0.44,1.12
"955",955,"I thought #GOPDebate was good, despite @realDonaldTrump grandstanding. @BenCarson2016 really brought logic to back to the campaign table.","Positive",0.6,1,0.44,1.12
"982",982,"RT @BethBehrs: Classy. ","Negative",0.6,1,0.44,1.12
"468",468,"RT @BiasedGirl: Thank you, @megynkelly for exposing Donald Trump as the fraud he is. Thank You. 

#GOPDebate #DumpTrump","Positive",-0.05,0.333,-0.226,1.118
"379",379,"Bernie Sanders is a fucking national treasure.

@BernieSanders 
#FeelTheBern 
#GOPDebate 
#JonStewart 
#DonaldTrump 
#Bernie2016 
#Democrat","Positive",-0.2,0,0.357,1.114
"13",13,"Cruz:  New Sheriff in town.  Nice summary.  He cherishes freedom - your freedom.  ","Positive",0.45,1,0.937,1.1
"738",738,"@sallykohn Somebody has slept through the last few election cycles. Not to mention complete and utter lack of enthusiasm on left. ","Neutral",-0.4,0,0.146,1.092
"708",708,"#ableg #gopdebate On how the #lgbtq community is careing, kind and hospitable and Christian faith is not ""hateful.""  http://t.co/MGsU7VMaIO","Negative",0.3,0.333,0.833,1.066
"730",730,"Carly Fiorina was the big winner tonight in my opinion.Seemed 2b coolest,most competent leader in both #GOPdebates. #TrumpFiorina #GOPDebate","Neutral",0.467,1,0.727,1.066
"418",418,"Very nice of the ","Neutral",0.6,1,0.475,1.05
"31",31,"RT @TheBaxterBean: 5 Things Rand Paul's Kentucky Could've Spent $73M On Instead of a Fake Noah's Ark http://t.co/s1gkhSY1Bf ","Negative",-0.6,-1,-0.477,1.046
"596",596,"Rubio actually answering a question about immigration. Color me impressed ","Positive",0.6,1,0.477,1.046
"972",972,"RT @katiecouric: I'm sure it's not easy to moderate such a big group...so congrats to @BretBaier @megynkelly and @ChrisWallace. ","Negative",0.267,0,0.51,1.02
"580",580,".@WMUR9_Politics Before running for POTUS, GOP candidates praised @HillaryClinton's Sec Of State Tenure  https://t.co/J9oEBXYGof #gopdebates","Neutral",0.6,1,0.494,1.012
"220",220,"Great new @ScottWalker video. He consistently focused the debate last night on Clinton. ","Negative",0.5,1,0.772,1
"280",280,"@whitemamba23 100%!!! Hilary hanging with Kimye and Trump is dead center at #GOPDebates but a 3rd party is ""stupid""??","Negative",-0.5,-1,-0.713,1
"290",290,"Politics Nerd Moment: On vacation. Lost my chill when I looked up @ the bar TV to see I was missing the ","Positive",-0.5,-1,-0.691,1
"310",310,"#Trump2016 #GOPDebate The Illuminati want him out, but he will win the same http://t.co/2kVlxWB9Kd http://t.co/zyCvnY4NOq","Positive",0.5,1,0.747,1
"355",355,"Yay! We made it  
Happy Friday Folks!
Enjoy your weekend!
#POTUS #GOPDebate #GOP 
#HillaryClinton ROCKS! http://t.co/mzc49JrkQ8","Neutral",0.5,1,0.909,1
"360",360,"Clear winner from last nights ","Positive",0.5,1,0.751,1
"643",643,"Overall @BobbyJindal was the big winner yesterday. I expect to see him in the prime time debates next ","Neutral",0.5,1,0.586,1
"782",782,".@brithume: ""I think we have a clear winner ... Carly Fiorina"" #GOPDebate #Carly2016 https://t.co/3JmYdIdcdf","Positive",0.5,1,0.751,1
"880",880,"@guypbenson @megynkelly was as good as any Fox commentator could be. Thank you for calling out his cral Megyn! ","Negative",0.5,1,0.69,1
"419",419,"RT @AnniesListTX: 44%? It's what TX Latina women make to the white man's $. Will the ","Negative",0,0,0.499,0.998
"603",603,"@realDonaldTrump can insult everyone &amp; call them stupid but then cries at @megynkelly tough but fair questions.","Positive",-0.2,-0.6,-0.691,0.982
"498",498,"RT @SFGate: Internet has some fun with the ","Neutral",0.8,1,0.511,0.978
"238",238,"TV reality star has a 2 to 1 lead.
Gets asked tough, leader questions.
Wilts like a failed Apprentice.
Cries about mean girls.

#GOPDebate","Neutral",-0.133,-0.5,-0.612,0.958
"716",716,"@PoliSciUMN did Ted Cruz just misspeak when he said during his closing statement that he would ""persecute religious liberty?"" #GOPDebate","Negative",-0.4,-0.333,0.077,0.954
"948",948,"MK: ""Mr. Jackson, you molested &amp; paid off young boys...""
MJ: ""Only my Macauley Culkin.""
*audience roars with laughter, applause*
#GOPDebate","Neutral",0.4,0,0.477,0.954
"374",374,"RT @dhniels: You know who @ChrisChristie was giving hugs to? THE FAMILIES OF PEARL HARBOR VICTIMS ","Negative",-0.1,0,0.375,0.95
"377",377,"Will @megynkelly Ever Ask @Rosie to Apologize for Her Foul, Abusive, Ugly Attacks on @realDonaldTrump? http://t.co/zyCg0ixWrU #GOPdebate","Neutral",-0.4,-0.6,-0.875,0.95
"584",584,"RT @PhillyD: I went to a gay wedding. 
""Applause""
And there were black people there too!
""Standing ovation""
#GOPDebate","Positive",0.4,0,0.475,0.95
"806",806,"RT @RyanMauro: Arab columnist praises @realDonaldTrump ","Negative",0.6,1,0.527,0.946
"294",294,"RT @TPM: In press release, Donald Trump crowns self winner of #GOPDebate. Unsurprisingly. http://t.co/kQCbcKBjkI http://t.co/c6QMAgEvF3","Neutral",0.8,0.333,0.586,0.934
"648",648,"This is an amazing degree of commitment to a running joke http://t.co/VpxxlxEvHi ","Positive",0.533,1,0.822,0.934
"83",83,"chadstanton: RT brownblaze: PLEASE RT. ","Negative",0.2,0,0.465,0.93
"627",627,"SMH. Trump's Twitter tirade: Megyn Kelly a 'bimbo,' Frank Luntz a 'clown' #gopdebate http://t.co/wyWLcGtcZR","Neutral",0,-0.333,-0.465,0.93
"874",874,"@RickSantorum eugenics? And you are in the side of Racist Nativists who want to restrict LEGAL immigrants like me. U lost 5votes ","Negative",-0.133,-0.5,-0.595,0.924
"25",25,"Interest take on the aftermath of the first 2016 #GOPDebate
We're actually talking about who &amp; when a candidate looked presidential @cspanwj","Negative",0.2,0,0.459,0.918
"443",443,"Isn't ""@FoxNews fact checkers"" an oxymoron? They don't fact check on a daily basis. Or they do &amp; ignore them...like last night. #GOPDebate","Neutral",0,0,-0.459,0.918
"638",638,"RT @b140_tweet: Rip MS ANN  .. U would be a welcome advisor tonight... ","Negative",0.4,0,0.459,0.918
"528",528,"It's fascinating to see the post-post ","Negative",0.6,1,0.542,0.916
"623",623,"Did @realDonaldTrump ever tell @megynkelly to go wait in the car? Her bad attitude suggests it. ","Positive",-0.6,-1,-0.542,0.916
"689",689,"RT @jaret2113: Jeb could whoop Trumps ass in corn hole. ","Negative",-0.8,-1,-0.542,0.916
"770",770,"RT @puddinstrip: who's up for a post debate fuck on the hood of my Chevy? ","Neutral",-0.8,-1,-0.542,0.916
"834",834,"Boy, it'll be so awesome when President Trump calls Angel Merkel a ""bimbo"". He's so cool. #GOPDebate #Trump2016","Negative",0.5,0.333,0.79,0.914
